192.217.93,71519
198.216.2,23877
131.167.48,155930
150.148.56,44356
146.229.1,2624
141.161.18,444230
199.199.170,841
199.73.153,11747
192.246.82,22215
147.160.9,489875
204.157.204,11747
129.187.250,19910
199.213.177,35156
134.164.40,11747
204.242.57,325549
163.234.140,81936
163.234.128,19220
170.55.130,4889
204.73.0,38895
194.151.3,19396
159.142.162,3517
193.63.73,3421
156.80.94,14450
134.7.60,32505
163.234.34,53603
192.246.73,80786
164.159.192,43100
134.67.39,17214
150.200.42,147822
131.52.16,373394
198.108.132,5250
167.193.49,80092
162.43.21,81723
149.8.43,2336
192.58.204,5897
204.177.210,104910
192.72.60,7513
149.79.176,32173
134.186.196,168624
200.246.227,432768
192.154.33,11747
156.98.204,15020
155.77.120,31990
129.15.32,120788
199.77.34,253685
205.138.140,11747
165.152.208,27129
129.135.216,11747
155.33.62,42755
204.62.25,29844
129.193.171,3073
146.137.152,17330
200.10.224,19645
158.72.25,15020
146.184.114,199615
192.246.181,4889
137.241.180,8618
161.129.48,3050
165.151.47,284453
139.121.98,5041738
131.144.40,5327
205.208.30,118278
198.5.6,14507
165.151.51,3532
192.137.113,36430
192.55.134,14507
163.234.116,179570
199.126.17,190561
163.234.156,31525
134.53.24,14507
199.190.82,28946
131.250.8,67624
198.165.30,232428
198.109.136,386134
130.127.84,12630
199.222.161,0
148.149.107,148459
129.237.24,1274796
155.82.20,39162
192.246.249,15019
164.158.3,35178
134.67.57,83763
192.239.66,39857
137.227.51,89877
131.230.197,3073
146.138.12,11746
139.94.97,39857
130.38.73,17607
150.216.15,259921
198.111.36,4888
156.98.203,12195
169.14.20,61262
161.119.52,14963
162.108.35,6874
144.39.248,34095
134.20.62,130983
163.191.188,15917
199.170.79,15275
204.248.203,204373
134.126.28,11590
137.159.177,14449
158.111.96,116881
146.138.34,1079474
198.105.194,47538
160.136.18,59406
128.252.99,325001
138.13.122,91352
129.57.33,14256
128.120.5,0
138.87.174,252536
198.76.115,11746
163.234.60,9807
128.120.125,11359
129.252.188,93362
204.252.77,16762
142.28.2,398729
165.152.88,2624
131.167.99,325237
129.81.186,98546
164.64.142,235403
198.85.72,169843
198.215.148,32272
132.248.53,106260
204.194.170,42100
134.53.98,39721
131.182.170,8727
153.64.63,57523
129.238.120,11746
204.249.225,5248
134.67.75,4888
136.205.18,29657
198.104.228,173062
156.42.76,27049
198.234.90,33221
131.120.147,2624
199.16.15,0
130.241.163,30666
142.140.32,54461
150.148.177,14506
144.51.21,14370
161.156.150,11746
141.233.130,103106
131.90.176,8712
198.59.96,23554
204.185.47,7004
156.63.241,139826
129.193.186,5830
137.35.140,78093
152.120.123,21759
163.234.204,108987
198.137.145,290483
158.229.201,157168
199.4.102,5250
156.80.164,85282
198.86.33,14392
130.207.94,23026
155.84.92,3353172
156.99.78,11746
204.238.43,8361
148.149.108,15699
143.139.25,15019
192.43.248,11746
137.113.193,35969
199.249.179,3852
142.139.220,26138
128.192.24,2624
204.32.176,4888
163.206.111,53638
129.252.21,60575
159.230.8,3508
163.234.224,604773
128.196.182,24398
198.80.60,24063
128.148.245,3947
192.58.194,9060
128.163.40,258067
146.129.161,19490
165.151.26,4950
134.67.195,11808
128.138.177,387651
157.92.49,75908
199.223.31,1724
132.236.38,13925
198.77.113,92897
204.178.177,237817
162.80.60,16087
158.145.111,17550
199.217.3,94474
129.237.223,12306
165.234.109,23944
199.89.39,16085
165.110.45,80583
204.250.9,106596
146.63.206,5532
130.19.10,957522
128.120.153,480433
198.110.207,35749
192.137.112,142748
130.99.163,3842
161.119.73,11747
142.25.2,84897
204.254.252,52225
205.133.212,41326
198.31.73,78256
204.255.215,45994
146.114.26,228495
156.3.41,70215
205.241.144,2624
204.194.175,19645
149.136.2,11577
194.166.2,18280
206.27.204,116718
199.8.210,221831
199.73.129,75178
137.229.144,16131
202.39.249,378246
165.213.131,23813
133.62.128,44317
200.246.240,14850
141.209.3,1824
129.108.62,12649
198.59.172,25431
204.250.21,2624
155.187.32,7574
128.206.30,4233
206.43.171,154615
139.121.102,30593
137.219.55,1162480
130.54.47,13603
138.87.164,73569
204.157.71,95214
129.96.209,4996
143.188.9,42748
